idadenumero  sexo  glabela  fronte  incisivos  mentoredondo  mentoproeminencia  orbita
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoQuadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Feminino  NadaProeminente  Vertical  Redondo  Quadrado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Redonda
Adulto  Masculino  MuitoProeminente  Inclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Angulosa
PosPuberal  Masculino  NadaProeminente  MuitoInclinada  MuitoRedondo  Quadrado  Proeminente  Redonda
PosPuberal  Feminino  PoucoProeminente  Inclinada  Quadrado  Arredondado  MuitoDiscreto  Redonda
Adulto  Feminino  PoucoProeminente  MuitoVertical  Quadrado  MuitoArredondado  MuitoProeminente  Angulosa
Velho  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoProeminente  Redonda
PosPuberal  Masculino  Proeminente  Inclinada  MuitoQuadrado  Quadrado  MuitoDiscreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoQuadrado  MuitoProeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoQuadrado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  MuitoRedondo  Arredondado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Quadrado  Arredondado  MuitoDiscreto  Redonda
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoQuadrado  Arredondado  MuitoDiscreto  Angulosa
PosPuberal  Feminino  PoucoProeminente  MuitoVertical  MuitoQuadrado  MuitoQuadrado  Discreto  Redonda
Adulto  Masculino  MuitoProeminente  MuitoVertical  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoQuadrado  Discreto  Angulosa
PosPuberal  Feminino  PoucoProeminente  MuitoVertical  MuitoQuadrado  Arredondado  MuitoProeminente  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Quadrado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Redondo  MuitoArredondado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  Inclinada  Quadrado  Arredondado  MuitoDiscreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoQuadrado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoProeminente  Angulosa
Adulto  Feminino  NadaProeminente  Inclinada  Redondo  MuitoArredondado  Proeminente  Redonda
PosPuberal  Masculino  PoucoProeminente  MuitoInclinada  MuitoRedondo  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Redondo  MuitoArredondado  Proeminente  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Quadrado  MuitoProeminente  Redonda
Adulto  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  MuitoArredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoArredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Vertical  MuitoRedondo  MuitoQuadrado  Proeminente  Redonda
PosPuberal  Feminino  PoucoProeminente  Vertical  MuitoQuadrado  Arredondado  MuitoDiscreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Quadrado  MuitoArredondado  Discreto  Angulosa
Adulto  Masculino  PoucoProeminente  Inclinada  Quadrado  Arredondado  MuitoDiscreto  Angulosa
Adulto  Masculino  Proeminente  Vertical  Quadrado  Quadrado  Proeminente  Angulosa
PosPuberal  Feminino  PoucoProeminente  Vertical  MuitoRedondo  Quadrado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  MuitoArredondado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Masculino  NadaProeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  Arredondado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  MuitoVertical  Redondo  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoArredondado  MuitoDiscreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Quadrado  Quadrado  Discreto  Redonda
PosPuberal  Masculino  MuitoProeminente  MuitoVertical  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  MuitoVertical  Redondo  Arredondado  MuitoDiscreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  MuitoArredondado  MuitoDiscreto  Angulosa
Adulto  Masculino  MuitoProeminente  MuitoVertical  Quadrado  Quadrado  Proeminente  Redonda
Velho  Feminino  PoucoProeminente  Vertical  Quadrado  Quadrado  MuitoProeminente  Redonda
Adulto  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  Arredondado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Redondo  MuitoArredondado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  Inclinada  Redondo  MuitoArredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  MuitoVertical  Quadrado  Quadrado  Proeminente  Redonda
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoRedondo  Arredondado  Discreto  Angulosa
PosPuberal  Feminino  PoucoProeminente  Vertical  MuitoRedondo  MuitoArredondado  MuitoProeminente  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  MuitoArredondado  Discreto  Redonda
Adulto  Feminino  NadaProeminente  Inclinada  Redondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  MuitoRedondo  Arredondado  Discreto  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoQuadrado  Proeminente  Redonda
PosPuberal  Feminino  NadaProeminente  MuitoInclinada  MuitoRedondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Masculino  MuitoProeminente  MuitoVertical  Quadrado  Arredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Redondo  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoArredondado  MuitoDiscreto  Angulosa
PosPuberal  Masculino  Proeminente  Vertical  Quadrado  MuitoArredondado  Proeminente  Angulosa
PosPuberal  Masculino  Proeminente  Vertical  MuitoRedondo  Quadrado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Redondo  MuitoQuadrado  Proeminente  Redonda
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoRedondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoArredondado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoProeminente  Redonda
Velho  Feminino  PoucoProeminente  Vertical  Quadrado  Quadrado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Redondo  MuitoQuadrado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  Inclinada  Quadrado  Arredondado  Discreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Arredondado  Discreto  Angulosa
Velho  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  MuitoQuadrado  MuitoDiscreto  Redonda
Adulto  Feminino  PoucoProeminente  Inclinada  Redondo  Quadrado  MuitoProeminente  Redonda
Adulto  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  MuitoVertical  Quadrado  MuitoQuadrado  Discreto  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Quadrado  Arredondado  Discreto  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoArredondado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  MuitoRedondo  Quadrado  Proeminente  Angulosa
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoRedondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Feminino  NadaProeminente  Inclinada  Redondo  Arredondado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Vertical  Redondo  MuitoArredondado  Proeminente  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Arredondado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoProeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Discreto  MuitoRedonda
PosPuberal  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Proeminente  Redonda
Adulto  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  MuitoArredondado  MuitoProeminente  Angulosa
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoQuadrado  Discreto  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Quadrado  MuitoArredondado  Discreto  Angulosa
Adulto  Masculino  NadaProeminente  MuitoInclinada  Quadrado  Arredondado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Quadrado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  MuitoVertical  Redondo  Quadrado  MuitoDiscreto  Redonda
Adulto  Feminino  PoucoProeminente  MuitoVertical  Redondo  MuitoArredondado  MuitoProeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoArredondado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Arredondado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Quadrado  Proeminente  Redonda
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoRedondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  MuitoVertical  Redondo  MuitoArredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  MuitoArredondado  Discreto  Redonda
PosPuberal  Masculino  PoucoProeminente  MuitoInclinada  Redondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Quadrado  Arredondado  MuitoDiscreto  Redonda
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoRedondo  MuitoQuadrado  Discreto  Angulosa
Velho  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  MuitoQuadrado  MuitoDiscreto  Redonda
Adulto  Feminino  NadaProeminente  Inclinada  Redondo  Arredondado  MuitoProeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Redondo  MuitoArredondado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Vertical  Quadrado  Quadrado  MuitoDiscreto  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  Quadrado  MuitoDiscreto  Redonda
Adulto  Feminino  PoucoProeminente  Inclinada  Redondo  Quadrado  MuitoProeminente  Redonda
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoRedondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Vertical  Quadrado  Quadrado  MuitoProeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  MuitoArredondado  Discreto  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoProeminente  Angulosa
Adulto  Masculino  MuitoProeminente  MuitoVertical  Redondo  Quadrado  Proeminente  Angulosa
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoRedondo  MuitoQuadrado  Discreto  Angulosa
PosPuberal  Feminino  PoucoProeminente  Vertical  MuitoQuadrado  Arredondado  MuitoDiscreto  Angulosa
Adulto  Feminino  PoucoProeminente  Inclinada  Redondo  Quadrado  MuitoProeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Discreto  Angulosa
PosPuberal  Masculino  MuitoProeminente  MuitoVertical  Quadrado  MuitoQuadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  Quadrado  Proeminente  Angulosa
PosPuberal  Masculino  MuitoProeminente  MuitoVertical  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Vertical  MuitoRedondo  MuitoQuadrado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  Inclinada  Redondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  MuitoRedondo  Arredondado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Redondo  MuitoQuadrado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  MuitoVertical  Redondo  Arredondado  Discreto  Redonda
