@relation null

@attribute sexo {Masculino,Feminino}
@attribute glabela {MuitoProeminente,NadaProeminente,PoucoProeminente,Proeminente,Indisponivel}
@attribute fronte {Inclinada,MuitoVertical,Vertical,MuitoInclinada,Indisponivel}
@attribute incisivos {Quadrado,Redondo,MuitoQuadrado,MuitoRedondo,Indisponivel}
@attribute mentoredondo {Arredondado,Quadrado,MuitoQuadrado,MuitoArredondado,Indisponivel}
@attribute mentoproeminencia {MuitoDiscreto,Proeminente,Discreto,MuitoProeminente,Indisponivel}
@attribute orbita {Angulosa,Redonda,Indisponivel,MuitoRedonda,MuitoAngulosa}

@data
Masculino,MuitoProeminente,MuitoVertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
Feminino,PoucoProeminente,Inclinada,Redondo,Quadrado,MuitoProeminente,Redonda
Feminino,NadaProeminente,Inclinada,Quadrado,Arredondado,Discreto,Angulosa
Feminino,NadaProeminente,MuitoInclinada,Redondo,Arredondado,Proeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Arredondado,MuitoProeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,MuitoRedondo,Arredondado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Discreto,Redonda
Masculino,Proeminente,Vertical,MuitoRedondo,Quadrado,Discreto,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,Arredondado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Feminino,NadaProeminente,Inclinada,Quadrado,Arredondado,Discreto,Angulosa
Masculino,Proeminente,Vertical,MuitoQuadrado,Quadrado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,MuitoDiscreto,Redonda
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,MuitoRedonda
Masculino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,MuitoVertical,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Redondo,MuitoQuadrado,Discreto,Angulosa
Feminino,PoucoProeminente,MuitoVertical,MuitoRedondo,Quadrado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Redondo,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,Arredondado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Arredondado,MuitoProeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Feminino,NadaProeminente,Inclinada,Quadrado,Arredondado,Proeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,MuitoQuadrado,MuitoQuadrado,Discreto,Redonda
Masculino,MuitoProeminente,MuitoVertical,Quadrado,Arredondado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,Quadrado,Quadrado,Discreto,Angulosa
Feminino,NadaProeminente,Inclinada,MuitoQuadrado,Quadrado,Discreto,Angulosa
Feminino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,Discreto,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoQuadrado,MuitoDiscreto,Redonda
Feminino,PoucoProeminente,Vertical,MuitoRedondo,MuitoArredondado,MuitoProeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,MuitoQuadrado,Quadrado,MuitoDiscreto,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoProeminente,Angulosa
Feminino,NadaProeminente,Inclinada,Quadrado,Quadrado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,MuitoRedondo,Quadrado,Proeminente,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Redondo,MuitoQuadrado,Discreto,Angulosa
Masculino,NadaProeminente,MuitoInclinada,MuitoRedondo,Quadrado,Proeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
Feminino,NadaProeminente,Inclinada,Quadrado,Arredondado,Discreto,Angulosa
Masculino,PoucoProeminente,Inclinada,Quadrado,MuitoQuadrado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Discreto,Redonda
Masculino,MuitoProeminente,MuitoVertical,Quadrado,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,Quadrado,Arredondado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Angulosa
Masculino,Proeminente,Inclinada,Redondo,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Redondo,MuitoQuadrado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Arredondado,MuitoDiscreto,Angulosa
Feminino,PoucoProeminente,Vertical,MuitoRedondo,Arredondado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,Discreto,Angulosa
Masculino,NadaProeminente,MuitoInclinada,Quadrado,Arredondado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,Proeminente,Angulosa
Feminino,NadaProeminente,Inclinada,MuitoRedondo,MuitoQuadrado,Discreto,Angulosa
Feminino,PoucoProeminente,MuitoVertical,Redondo,Quadrado,Proeminente,Angulosa
Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,MuitoProeminente,Redonda
Feminino,NadaProeminente,Inclinada,MuitoRedondo,MuitoQuadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,MuitoQuadrado,Quadrado,MuitoProeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoQuadrado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,Inclinada,MuitoRedondo,Arredondado,Proeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,PoucoProeminente,Inclinada,MuitoQuadrado,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,MuitoRedondo,Arredondado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Quadrado,MuitoArredondado,MuitoDiscreto,Angulosa
Masculino,Proeminente,Inclinada,Redondo,Quadrado,Proeminente,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Redonda
Masculino,MuitoProeminente,MuitoVertical,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,Proeminente,Vertical,MuitoQuadrado,Quadrado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,Redondo,MuitoQuadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,MuitoRedondo,Arredondado,Discreto,Redonda
Masculino,Proeminente,Vertical,MuitoRedondo,MuitoQuadrado,Proeminente,Redonda
Masculino,Proeminente,Vertical,Redondo,MuitoQuadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Arredondado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,MuitoRedondo,Arredondado,Discreto,Redonda
Masculino,NadaProeminente,MuitoInclinada,Quadrado,Arredondado,Discreto,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,MuitoProeminente,Redonda
Feminino,NadaProeminente,MuitoInclinada,Redondo,MuitoArredondado,MuitoDiscreto,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Discreto,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,MuitoRedondo,Arredondado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
Feminino,PoucoProeminente,Inclinada,Quadrado,Arredondado,MuitoDiscreto,Redonda
Feminino,NadaProeminente,MuitoInclinada,Quadrado,MuitoArredondado,Discreto,Angulosa
Masculino,Proeminente,Inclinada,Redondo,MuitoQuadrado,Discreto,Angulosa
Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,MuitoProeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,Redondo,Quadrado,MuitoDiscreto,Redonda
Masculino,Proeminente,Inclinada,Redondo,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Arredondado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoDiscreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoProeminente,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,Quadrado,Discreto,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
