45,Thu  Sep 1 02:19:55 2011,32,0.05
46,Thu  Sep 1 02:20:58 2011,32,0.85
6,Thu  Sep 1 02:22:11 2011,32,0.3
41,Thu  Sep 1 02:23:31 2011,32,0.2
42,Thu  Sep 1 02:24:52 2011,32,0.1
1,Thu  Sep 1 02:58:29 2011,41,0.49
1,Thu  Sep 1 02:58:31 2011,41,0.48
1,Thu  Sep 1 02:58:56 2011,41,0.18
1,Thu  Sep 1 03:02:53 2011,41,0.82
7,Thu  Sep 1 03:04:23 2011,40,0.47
